OrderNum,WT,LabelledComponent,OrderDescription,WorkOrderStartDatetime,DowntimeStartDatetime,DowntimeEndDatetime,SCADADowntimeTotal,SCADADowntimeCount
473269011,WT02,other_parts,WTG02A SNAGGING 2017,13/03/2017 13:00,09/03/2017 08:41,13/03/2017 15:51,22.39972222,3
473269016,WT03,other_parts,WTG03A SNAGGING 2017,07/09/2017 12:00,04/09/2017 07:10,07/09/2017 15:29,26.51416667,4
473269017,WT04,other_parts,WTG04A SNAGGING 2017,28/09/2017 11:30,26/09/2017 07:17,28/09/2017 14:22,20.745,3
473269052,WT08,other_parts,WTG08A SNAGGING 2017,30/08/2017 14:30,25/08/2017 07:10,30/08/2017 15:18,22.97166667,3
473269057,WT13,other_parts,WTG13B SNAGGING 2017,25/09/2017 15:00,20/09/2017 07:15,25/09/2017 15:29,26.12777778,4
473271259,WT07,unclassified,WTG 07A FAULT FIND SMPS ERRORS,06/05/2017 08:00,04/05/2017 22:23,06/05/2017 12:53,38.48694444,1
473271260,WT07,unclassified,WTG 07A WORK IN THE A12 CABINIET,06/05/2017 11:00,04/05/2017 22:23,06/05/2017 12:53,38.48694444,1
473271860,WT07,gearbox,WTG 07A REPLACE FLOOR PLATES ON A21 LEVE,06/05/2017 12:00,04/05/2017 22:23,06/05/2017 12:53,38.48694444,1
473275673,WT01,other_parts,WTG01A WORK ON LIGHTS,11/05/2017 14:00,10/05/2017 07:48,11/05/2017 15:25,15.45166667,2
473275813,WT01,nacelle,WTG01A WORK IN THE HUB,15/05/2017 08:00,10/05/2017 07:48,15/05/2017 14:52,22.86916667,3
473275910,WT16,electrical,WTG16B PARTICLE COUNTER ERROR,24/05/2017 15:00,17/05/2017 07:56,24/05/2017 14:50,31.88583333,4
473276921,WT01,unclassified,WTG01A MARINE LANTERN FAULT,15/05/2017 13:30,10/05/2017 07:48,15/05/2017 14:52,22.86916667,3
473276924,WT01,yaw,WTG01A LEAKING YAW MOTOR,15/05/2017 10:30,10/05/2017 07:48,15/05/2017 14:52,22.86916667,3
473277349,WT01,unclassified,WTG01A WORK ON HYD STATION,15/05/2017 14:00,10/05/2017 07:48,15/05/2017 14:52,22.86916667,3
473277681,WT19,lift,WTG19B REPLACE LIFT BUCKET,16/05/2017 15:15,11/05/2017 13:01,16/05/2017 15:02,27.71333334,2
473278112,WT07,other_parts,WTG07A WORK ON LIGHTS,17/05/2017 16:00,12/05/2017 08:05,17/05/2017 14:55,14.42972222,2
473279110,WT21,unclassified,WTG 21C FAULT FIND HIGH TEMP IN A18,18/05/2017 14:00,18/05/2017 10:08,18/05/2017 15:37,5.474444444,1
473279699,WT19,other_parts,WTG 19C RTF 16076-02 SELF CLOSING HATCH,18/05/2017 15:30,11/05/2017 13:01,18/05/2017 15:16,43.50916667,4
473280056,WT21,yaw,WTG 21C FAULT FIND YAW ERRORS,19/05/2017 13:30,18/05/2017 10:08,19/05/2017 13:14,11.74972222,2
473280057,WT21,unclassified,WTG 21C WORK IN THE A18,19/05/2017 13:30,18/05/2017 10:08,19/05/2017 13:14,11.74972222,2
473281052,WT21,yaw,WTG 21C REPLACE YAW MOTOR,22/05/2017 09:30,18/05/2017 10:08,22/05/2017 15:16,70.94861111,4
473281847,WT20,other_parts,RTF 16076-02 SELF CLOSING HATCH,22/05/2017 12:45,22/05/2017 08:30,22/05/2017 13:46,5.266111111,1
473282652,WT16,other_parts,WTG16B WORK ON LIGHTS,24/05/2017 14:30,17/05/2017 07:56,24/05/2017 14:50,31.88583333,4
473282654,WT20,lift,WTG20C REPLACE LIFT BUCKET,09/06/2017 13:30,25/05/2017 07:26,09/06/2017 13:16,235.1669445,3
473283309,WT20,other_parts,WTG20C WORK ON LIGHTS,09/06/2017 11:45,25/05/2017 07:26,09/06/2017 13:16,235.1669445,3
