,n_train_events,train_duration_hours_sum,n_val_events,val_duration_hours_sum
teesside_wt01,9.0,58.833333333333336,3.0,15.000000000000002
teesside_wt02,13.0,154.0,6.0,167.16666666666666
teesside_wt03,8.0,31.666666666666668,2.0,13.333333333333332
teesside_wt04,11.0,65.0,5.0,20.833333333333332
teesside_wt05,12.0,94.33333333333334,7.0,44.0
teesside_wt06,14.0,49.33333333333333,5.0,48.166666666666664
teesside_wt07,11.0,104.33333333333334,4.0,78.66666666666667
teesside_wt08,11.0,157.1666666666667,0.0,0.0
teesside_wt09,8.0,45.16666666666667,7.0,60.33333333333334
teesside_wt10,12.0,146.5,4.0,77.66666666666666
teesside_wt11,5.0,48.50000000000001,1.0,4.333333333333333
teesside_wt12,6.0,118.33333333333334,2.0,18.166666666666668
teesside_wt13,5.0,20.333333333333332,2.0,44.333333333333336
teesside_wt14,7.0,104.0,1.0,6.833333333333333
teesside_wt15,6.0,26.666666666666664,3.0,57.5
teesside_wt16,11.0,43.83333333333333,5.0,60.66666666666667
teesside_wt17,7.0,112.83333333333333,1.0,7.0
teesside_wt18,6.0,54.833333333333336,4.0,80.83333333333334
teesside_wt19,12.0,137.83333333333334,4.0,25.333333333333332
teesside_wt20,9.0,23.833333333333336,3.0,64.0
teesside_wt21,8.0,50.66666666666667,4.0,73.66666666666666
teesside_wt22,5.0,20.166666666666668,5.0,29.16666666666667
teesside_wt23,4.0,38.50000000000001,3.0,64.33333333333333
teesside_wt24,5.0,37.0,4.0,70.0
teesside_wt25,7.0,108.16666666666669,6.0,100.16666666666669
teesside_wt26,6.0,35.5,5.0,47.5
teesside_wt27,6.0,47.99999999999999,2.0,38.16666666666667
